Title,Original Title,Subtitle,Series,Volume,Author,"Author (Last, First)",Illustrator,Narrator,Translator,Photographer,Editor,Publisher,Place of Publication,Date Published,Year Published,Original Date Published,Original Year Published,Edition,Genre,Summary,Guided Reading Level,Lexile Measure,Lexile Code,Grade Level Equivalent,Developmental Reading Assessment,Interest Level,AR Level,AR Points,AR Quiz Number,Word Count,Number of Pages,Format,Audio Runtime,Dimensions,Weight,List Price,Language,Original Language,DDC,LCC,LCCN,OCLC,ISBN,ISSN,Favorites,Rating,Physical Location,Status,Status Incompleted Reason,Status Hidden,Date Started,Date Finished,Current Page,Loaned To,Date Loaned,Borrowed From,Date Borrowed,Returned from Borrow,Not Owned Reason,Quantity,Condition,Recommended By,Date Added,User Supplied ID,User Supplied Descriptor,Tags,Purchase Date,Purchase Place,Purchase Price,Notes,Google VolumeID,Category,Wish List,Previously Owned,Up Next,Position,Uploaded Image URL,Activities
1984,,,,,George Orwell,"Orwell, George",,,,,,Bur Rizzoli,,,2021,,,,,,,,,,,,,,,,,,,,,,italiano,,,,,,9788817154857,,0,0.000000,,Unread,,0,,,,,,,,0,,,,,2024/10/24 19:58:12.996476054,,,,,,,,,Personale,0,0,0,,http://images.amazon.com/images/P/8817154857.01Z.jpg,
Fuori di zucca,,,,,Sue Townsend,"Townsend, Sue",,,,,,Sperling & Kupfer,,,1990,,,,Fiction,,,,,,,,,,,,272,,,,,,italiano,,,,,,9788820010898,,0,0.000000,,Unread,,0,,,,,,,,0,,,,,2024/11/01 23:01:16.463719964,,,,,,,,e7i9AAAACAAJ,,0,0,0,,https://s3.amazonaws.com/kimicoapps-bookbuddy/EBD0E094-DE5F-4E14-B454-BFA3542C9386,
Galleria Colonna,,Elenco dipinti - Cenni storici,,,Sconosciuto,Sconosciuto,,,,,,Galleria Colonna,,,,,,,Art,,,,,,,,,,,,32,,,,,,,,,,,,,,0,0.000000,,Unread,,0,,,,,,,,0,,,,,2024/11/02 00:33:50.065693974,,,,,,,,,Personale,0,0,0,,https://s3.amazonaws.com/kimicoapps-bookbuddy/07C33A05-2C04-43D1-BD77-D7F0BBDD3E36,
Grand tour d'Italia a piccoli passi,,,,,Philippe Daverio,"Daverio, Philippe",,,,,,Rizzoli,,,2022,,,,Art,,,,,,,,,,,,,,,,,,italiano,,,,,,9788891837479,,0,0.000000,,Unread,,0,,,,,,,,0,,,,,2024/10/31 12:01:44.135360002,,,,,,,,,Personale,0,0,0,,http://images.amazon.com/images/P/8891837474.01Z.jpg,
I maestri del colore Botticelli,,,,,Mina Bacci,"Bacci, Mina",,,,,,Fratelli Fabbri Editori,,,,,,,Art,,,,,,,,,,,,16,,,,,,,,,,,,,,0,0.000000,,Unread,,0,,,,,,,,0,,,,,2024/11/02 00:28:04.825682997,,,,,,,,,Personale,0,0,0,,https://s3.amazonaws.com/kimicoapps-bookbuddy/F839588B-307C-4CEB-8B7F-C0198421C3B1,
Il Palazzo del Quirinale,,"La storia, le sale e le collezioni",,,Vari,Vari,,,,,,Fondazione Marilena Ferrari,,,,,,,Art,,,,,,,,,,,,271,,,,,,,,,,,,,,0,0.000000,,Unread,,0,,,,,,,,0,,,,,2024/11/02 00:19:57.731068015,,,,,,,,,Personale,0,0,0,,https://s3.amazonaws.com/kimicoapps-bookbuddy/B37D38CC-4E47-40E6-A276-84A3343DD325,
Immaginare le storie,,atlante visuale per scrittrici e scrittori,,,"Giulio Mozzi,Valentina Durante","Mozzi, Giulio",,,,,,Johan & Levi editore,,,2022,,,,Art,"Perché una storia si metta in moto a volte è sufficiente che una certa immagine compaia nella mente dello scrittore con un'insistenza ossessiva. Viceversa, a far inceppare la macchina narrativa basta una minima défaillance della capacità di escogitare personaggi e situazioni. Questo libro, pensato da una scrittrice e uno scrittore per altre scrittrici e altri scrittori, viene allora in soccorso a chi vuole potenziare la propria immaginazione cercando ispirazione nelle immagini prodotte dagli altri. Le opere d'arte - ma, allargando lo sguardo all'intero campo del visivo, anche l'architettura e il design, i fotogrammi e le pubblicità - non sono oggetti da contemplare passivamente. Sono immagini che ci interpellano, che ci coinvolgono, alle quali reagiamo con tutti i nostri sensi e i nostri pensieri, che contribuiscono a espandere quel corredo sensoriale che è il bagaglio minimo di ogni scrittore. Il quale, a differenza del critico d'arte, ha il vantaggio di potervisi accostare in modo spregiudicato ed estemporaneo, non già per decifrarle e commentarle ma per ricavarne ciò che hanno da offrire alla causa della scrittura. Forti della loro lunga pratica di insegnamento, Giulio Mozzi e Valentina Durante ci accolgono nella loro ""bottega di narrazione"" e ci guidano alla scoperta di come l'immaginario visuale possa diventare uno strumento eccezionalmente utile alla comprensione intuitiva di aspetti della narrazione quali il narratore, i dialoghi, la trama, lo stile, il montaggio. Del resto, se le opere d'arte sono fatte da persone che hanno dimostrato un certo talento nell'affrontare e risolvere dilemmi progettuali assai simili a quelli che affliggono chi è bloccato davanti al foglio bianco, imparare dai loro sguardi allenati è il migliore punto di partenza per costruire scene e intrecci più vividi e suggestivi, capaci di conquistare l'occhio interno del lettore.",,,,,,,,,,,191,,,,,,italiano,,,,,,9788860103246,,0,0.000000,,Unread,,0,,,,,,,,0,,,,,2024/10/24 15:23:58.163691997,,,,,,,,ZC11zwEACAAJ,Professionale,0,0,0,,,
Kafka,,,,,Pietro Citati,"Citati, Pietro",,,,,,Adelphi,,,2007,,,,Literature,,,,,,,,,,,,,,,,,,italiano,,,,,,9788845922114,,0,0.000000,,Unread,,0,,,,,,,,0,,,,,2024/10/25 10:36:38.040477037,,,,,,,,,Personale,0,0,0,,http://images.amazon.com/images/P/8845922111.01Z.jpg,
Lettere a Theo,,,,,"Vincent Van Gogh,Massimo Cescon (A cura di)","Gogh, Vincent Van",,,,,,Guanda,,,2022,,,,Art,"""Caro Theo"": per molto tempo, dall'agosto 1872 fino al 27 luglio 1890, due giorni prima di morire dopo essersi sparato un colpo di rivoltella, Vincent Van Gogh scrisse al fratello Theo con una costanza che trova il solo termine di paragone nell'amore che egli nutriva per lui. Per molto tempo Theo fu il suo unico interlocutore; sempre fu quello privilegiato, il solo cui confidò le pene della mente e del cuore. Del resto, le lettere a Theo (qui presentate in una scelta che riprende, con qualche variante, la versione integrale apparsa in Italia nel 1959) costituiscono la gran parte dell'epistolario vangoghiano. Dalla giovinezza alla piena maturità, esse ci permettono di seguire, quasi quotidianamente, la vicenda artistica e umana del grande pittore.",,,,,,,,,,,416,,,,,,italiano,,,,,,9788823531185,,0,0.000000,,Unread,,0,,,,,,,,0,,,,,2024/10/31 11:37:21.615612983,,,,,,,,t0EtzwEACAAJ,Personale,0,0,0,,,
Oliva Denaro,,,,,Viola Ardone,"Ardone, Viola",,,,,,Giulio Einaudi Editore,,2021/09/28,2021,,,,Fiction,"«Io non lo so se sono favorevole al matrimonio. Per questo in strada vado sempre di corsa: il respiro dei maschi è come il soffio di un mantice che ha mani e può arrivare a toccare le carni».È il 1960, Oliva Denaro ha quindici anni, abita in un paesino della Sicilia e fin da piccola sa - glielo ripete ossessivamente la madre - che «la femmina è una brocca, chi la rompe se la piglia». Le piace studiare e imparare parole difficili, correre «a scattafiato», copiare di nascosto su un quaderno i volti delle stelle del cinema (anche se i film non può andare a vederli, perché «fanno venire i grilli per la﻿ testa»), cercare le lumache con il padre, tirare pietre con la fionda a chi schernisce il suo amico Saro. Non le piace invece l'idea di avere «il marchese», perché da quel momento in poi queste cose non potrà piú farle, e dovrà difendersi dai maschi per arrivare intatta al matrimonio. Quando il tacito sistema di oppressione femminile in cui vive la costringe ad accettare un abuso, Oliva si ribella e oppone il proprio diritto di scelta, pagando il prezzo di quel no. Viola Ardone sa trasformare magnificamente la Storia in storia raccontando le contraddizioni dell'amore, tra padri e figlie, tra madri e figlie, e l'ambiguità del desiderio, che lusinga e spaventa, soprattutto se è imposto con la forza. La sua scrittura scandaglia la violenza dei ruoli sociali, che riguarda tutti, uomini compresi. Se Oliva Denaro è un personaggio indimenticabile, quel suo padre silenzioso, che la lascia decidere, con tutto lo smarrimento che dover decidere implica per lei, è una delle figure maschili piú toccanti della recente narrativa italiana.",,,,,,,,,,,312,,,,,,italiano,,,,,,9788858437353,,0,4.000000,,Read,,0,,2024/10/24,,,,,,0,,,,,2024/10/24 17:06:04.507194995,,,,,,,"«La femmina è una brocca: chi la rompe se la piglia, così dice mia madre».
Incipit «di testa», da cui sgorga, prodigiosa, tutta la profondità di #olivadenaro, scritto da #violaardone, edito da #einaudi.
Il romanzo è liberamente ispirato a una vicenda realmente accaduta in Sicilia negli anni Sessanta, che ha assunto rilievo iconico nella lotta per l’emancipazione femminile.
Attraverso uno stile che, per quanto asciutto e scorrevole, riesce a incidere con efficacia evocativa, toccando quasi i sensi prima che l’immaginario, la narrazione incede con un ritmo incalzante, a volte «sfrontatamente» coinvolgente, da una prospettiva interna, che disvela, in maniera vibrante, un universo di sentimenti, emozioni e inclinazioni con cui non si può fare a meno di empatizzare: chi legge si fonde con Oliva Denaro; Oliva Denaro diventa una qualunque di noi e la sua voce diviene tanto più potente quanto più affonda nelle vastità intimistiche dell’introspezione.
La struttura del romanzo è solida, la scelta di far coincidere la voce narrante con quella della protagonista ben vale la difficoltà di incanalare i fatti narrati nel flusso imposto da questo particolare filtro ed è molto ben affrontata. I personaggi sono costruiti in maniera realistica e toccante. In particolare spicca il padre di Oliva, figura di sublime delicatezza e, al tempo stesso, di invacillabile fermezza. I suoi calibrati silenzi, i suoi limpidi «non lo preferisco», i suoi fatti concludenti plasmano uno splendido rapporto padre-figlia, che è la radice ultima del coraggio di Oliva. Luminosa la scelta, nell’epilogo, di affidare la narrazione alternativamente alla voce di Oliva e a quella del padre, in un toccante, implicito dialogo tra i due.
Unico neo è l’imperfetta ricerca lessicale, che, per amore di autenticità, avrebbe richiesto una più matura contaminazione del linguaggio col dialetto siciliano. Perché il ricorrente «piccinna» in luogo del più realistico siciliano «picciridda»? Si avverte altresì la mancanza di costrutti sintattici tipici del dialetto siciliano che è quasi impossibile non sentire affiorare nel linguaggio non dialettale di chi con quel dialetto abbia, per origine, consuetudine e familiarità.",-iREEAAAQBAJ,Personale,0,0,0,,"https://m.media-amazon.com/images/I/71vhZARiJOL._AC_UF1000,1000_QL80_.jpg","[{""status"":0,""activityYear"":2024,""param1"":""0"",""param2"":""2"",""param3"":"""",""contact"":"""",""comments"":"""",""deviceName"":""iPhone di Dorella"",""type"":12,""addedDate"":""2024\/10\/24 17:06:04.529013037"",""activityDate"":""2024\/10\/24""}]"
